University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employment Outcomes Rank,Faculty Student Ratio Rank,Academic Reputation Rank,International Students Ratio Rank,International Research Network Rank,Sustainability Rank,Employer Reputation Rank,International Faculty Ratio Rank,Citations per Faculty Rank,Employment Outcomes Score,Faculty Student Ratio Score,Academic Reputation Score,International Students Ratio Score,International Research Network Score,Sustainability Score,Employer Reputation Score,International Faculty Ratio Score,Citations per Faculty Score
Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,100,1,,False,False,4,16,4,128,58,51,2,56,4,100,100,100,88.2,94.3,95.2,100,100,100
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,99.2,2,,False,False,6,14,3,85,7,=33,4,64,68,100,100,100,95.8,99.9,97.3,100,100,92.3
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,98.9,3,,False,False,3,8,2,60,1,=26,5,110,73,100,100,100,98.2,100,97.8,100,98.2,90.6
Harvard University,/universities/harvard-university,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,98.3,4,,False,False,1,44,1,223,5,39,1,210,1,100,98.3,100,66.8,100,96.7,100,84.6,100
Stanford University,/universities/stanford-university,North America,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,98.1,5,,False,False,2,11,5,284,44,63,3,78,8,100,100,100,51.2,95.8,94.4,100,99.9,99.9
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,97.8,6,,False,False,45,42,23,14,35,=61,12,61,58,83,98.5,98.3,100,96.7,94.4,99.4,100,94
ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,93.3,7,,False,False,52,177,19,56,42,=103,62,22,21,79.1,72.1,98.8,98.5,96,88.4,83.6,100,98.9
National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,92.7,8,,False,False,7,157,15,154,165,=106,54,33,64,100,76.5,99.4,81.9,76.3,88.1,88.6,100,93.2
UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,92.4,9,,False,False,126,43,13,15,2,74,22,96,131,51.6,98.4,99.5,100,100,92.5,97.9,99.1,74.3
"University of California, Berkeley (UCB)",/universities/university-california-berkeley-ucb,North America,United States,Berkeley,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,90.4,10,,False,False,15,656,6,235,66,1,6,172,7,98.7,20.5,100,63.9,92.4,100,100,92.2,99.9
University of Chicago,/universities/university-chicago,North America,United States,Chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,90.3,11,,False,False,17,72,17,145,236,=137,38,225,122,98.3,92.5,99.1,84.4,61.4,81.7,95.4,81.2,78.5
University of Pennsylvania,/universities/university-pennsylvania,North America,United States,Philadelphia,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,89.4,12,,False,False,5,24,29,208,129,=3,52,140,153,100,99.9,96.4,70.3,83.3,99.9,89.1,96,68.4
Cornell University,/universities/cornell-university,North America,United States,Ithaca,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,89.3,13,,False,False,18,297,26,234,144,=58,47,283,18,98,52.9,98.1,64,79.9,94.7,90.5,68.7,99.1
The University of Melbourne,/universities/university-melbourne,Oceania,Australia,Parkville,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg,87.9,14,,False,False,31,701+,21,36,30,=92,45,166,69,93.3,15.4,98.4,99.7,97.2,90.4,92.3,92.9,92.1
California Institute of Technology (Caltech),/universities/california-institute-technology-caltech,North America,United States,Pasadena,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,87.8,15,,False,False,225,5,30,159,521,357,41,63,3,34.2,100,96.1,81,22.8,41.4,93.7,100,100
Yale University,/universities/yale-university,North America,United States,New Haven,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,87.7,16,,False,False,9,3,9,169,112,13,7,184,293,99.9,100,99.9,78.8,85.8,99.2,99.9,89.8,45.8
Peking University,/universities/peking-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,87,17,,False,False,46,85,14,492,353,212,37,354,38,82.6,90.4,99.4,23.5,43.2,68.8,95.4,50.8,97.5
Princeton University,/universities/princeton-university,North America,United States,Princeton,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,87,18,,False,False,27,216,10,261,298,155,23,640,2,94.6,64.5,99.8,57.5,52.5,79.3,97.5,16.7,100
The University of New South Wales (UNSW Sydney),/universities/university-new-south-wales-unsw-sydney,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-48x48.jpg,86.7,19,,False,False,25,701+,45,50,15,10,55,55,47,95.5,18.2,89.7,99.1,99,99.6,88.1,100,95.9
The University of Sydney,/universities/university-sydney,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,86.7,20,,False,False,42,701+,31,13,70,7,57,89,63,88.1,11.8,96,100,91.9,99.7,87.7,99.5,93.5
University of Toronto,/universities/university-toronto,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,86.3,21,,False,False,22,283,11,80,46,2,33,145,226,96.4,54.2,99.7,96.4,95.5,99.9,96,95.7,57.2
The University of Edinburgh,/universities/university-edinburgh,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,86.1,22,,False,False,141,176,25,33,12,6,26,100,216,48.1,72.4,98.1,99.9,99.6,99.7,96.9,98.8,58.7
Columbia University,/universities/columbia-university,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg,85.9,23,,False,False,10,15,12,76,25,=64,16,332,339,99.9,100,99.6,96.8,97.6,94.2,98.3,56.1,40.7
Université PSL,/universities/universite-psl,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,85.8,24,,False,False,97,33,82,196,3,=146,25,280,49,60.8,99.3,73.7,72.7,100,80.4,97,69.2,95.7
