University Name,Path,Absolute Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Faculty Rank,International Students Ratio Rank,Faculty Student Ratio Rank,International Faculty Ratio Rank,Academic Reputation Rank,Sustainability Rank,International Research Network Rank,Employment Outcomes Rank,Employer Reputation Rank,Citations per Faculty Score,International Students Ratio Score,Faculty Student Ratio Score,International Faculty Ratio Score,Academic Reputation Score,Sustainability Score,International Research Network Score,Employment Outcomes Score,Employer Reputation Score
Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://staging.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,100,1,,FALSE,FALSE,9,143,11,100,4,15,58,8,2,100,86.8,100,99.3,100,99,96,100,100
Imperial College London,/universities/imperial-college-london,https://www.topuniversities.com/universities/imperial-college-london,Europe,United Kingdom,London,https://staging.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-48x48.jpg,98.5,2,,FALSE,FALSE,54,44,45,66,22,6,34,61,11,93.9,99.6,98.2,100,98.5,99.7,97.4,93.4,99.5
University of Oxford,/universities/university-oxford,https://www.topuniversities.com/universities/university-oxford,Europe,United Kingdom,Oxford,https://staging.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,96.9,3,,FALSE,FALSE,93,73,8,120,2,126,1,3,5,84.8,97.7,100,98.1,100,85,100,100,100
Harvard University,/universities/harvard-university,https://www.topuniversities.com/universities/harvard-university,North America,United States,Cambridge,https://staging.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,96.8,4,,FALSE,FALSE,1,215,53,269,1,130,5,1,1,100,69,96.3,74.1,100,84.4,99.6,100,100
University of Cambridge,/universities/university-cambridge,https://www.topuniversities.com/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://staging.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,96.7,5,,FALSE,FALSE,96,98,17,73,3,127,10,5,4,84.6,94.8,100,100,100,84.8,99.3,100,100
Stanford University,/universities/stanford-university,https://www.topuniversities.com/universities/stanford-university,North America,United States,Stanford,https://staging.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,96.1,6,,FALSE,FALSE,27,244,12,284,5,148,45,2,3,99,60.8,100,70.3,100,81.2,96.8,100,100
ETH Zurich,/universities/eth-zurich,https://www.topuniversities.com/universities/eth-zurich,Europe,Switzerland,Zürich,https://staging.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,93.9,7,,FALSE,FALSE,35,63,199,25,19,18,64,73,57,97.9,98.6,65.9,100,98.8,98.8,95.7,90.5,87.2
National University of Singapore (NUS),/universities/national-university-singapore-nus,https://www.topuniversities.com/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://staging.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,93.7,8,,FALSE,FALSE,61,129,189,41,15,26,146,6,48,93.1,88.9,68.8,100,99.5,97.7,91.6,100,91.1
UCL,/universities/ucl,https://www.topuniversities.com/universities/ucl,Europe,United Kingdom,London,https://staging.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-48x48.jpg,91.6,9,,FALSE,FALSE,145,21,56,106,14,190,2,157,18,72.2,100,95.9,99,99.5,74.8,99.9,70.3,98.3
California Institute of Technology (Caltech),/universities/california-institute-technology-caltech,https://www.topuniversities.com/universities/california-institute-technology-caltech,North America,United States,Pasadena,https://staging.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,90.9,10,,FALSE,FALSE,5,172,4,65,29,253,549,407,33,100,79.8,100,100,96.5,62.5,65.5,31,95.3
