University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Staff with PhD Rank,International Research Network Rank,Papers per Faculty Rank,Citations per Paper Rank,International Faculty Ratio Rank,International Students Ratio Rank,Academic Reputation Rank,Web Impact Rank,Faculty Student Ratio Rank,Employer Reputation Rank,Faculty Staff with PhD Score,International Research Network Score,Papers per Faculty Score,Citations per Paper Score,International Faculty Ratio Score,International Students Ratio Score,Academic Reputation Score,Web Impact Score,Faculty Student Ratio Score,Employer Reputation Score
King Fahd University of Petroleum & Minerals,/universities/king-fahd-university-petroleum-minerals,Asia,Saudi Arabia,Dhahran,https://www.topuniversities.com/sites/default/files/231010055416am142277Untitled-2-48x48.jpg,100,1,,False,False,50,15,2,8,22,43,4,15,7,2,63.4,91.7,100,98.1,95,35.6,98.1,90.9,99.3,99.1
King Saud University,/universities/king-saud-university,Asia,Saudi Arabia,Riyadh,https://www.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg,99.3,2,5,False,False,24,1,5,12,40,58,3,2,12,11,87.8,100,98.5,88.7,65.6,27.2,99,99.9,94.9,92.8
Qatar University,/universities/qatar-university,Asia,Qatar,Doha,https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg,99.2,3,,False,False,60,3,7,7,20,17,9,19,10,6,54.7,98.9,97.5,98.3,97.3,78,94.3,87,95.6,98.2
American University of Beirut (AUB),/universities/american-university-beirut-aub,Asia,Lebanon,Beirut ,https://www.topuniversities.com/sites/default/files/230707125949pm449470AUB-Profile-Photo-only%5B99%5D-48x48.jpg,95.6,4,,False,False,53,9,10,14,67,35,8,7,14,3,61.9,95.2,94.7,87,28.6,40.6,94.6,99.1,90,99
King Abdulaziz University (KAU),/universities/king-abdulaziz-university-kau,Asia,Saudi Arabia,Jeddah,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg,94,5,,False,False,89,2,18,2,51,68,1,9,26,1,21,99.9,90.5,100,52.2,19.1,100,96,75.9,100
United Arab Emirates University,/universities/united-arab-emirates-university,Asia,United Arab Emirates,Al Ain,https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg,92.9,6,5,False,False,71,4,16,44,19,41,7,18,18,10,41.9,98.6,91,50.9,99.7,36.9,95.1,88,86.4,95.7
Khalifa University,/universities/khalifa-university,Asia,United Arab Emirates,Abu Dhabi,https://www.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg,91,7,5,False,False,35,12,1,22,13,26,13,22,4,22,77.5,93.3,100,77.9,100,55.6,86.1,75.7,99.7,75.9
American University of Sharjah,/universities/american-university-sharjah,Asia,United Arab Emirates,Sharjah,https://www.topuniversities.com/sites/default/files/211216011743pm346028American-University-of-Sharjah-AUS-Stacked-200X200px-48x48.jpg,81.7,8,,False,False,47,34,11,27,2,3,17,23,63,7,67.8,68.7,94.3,72.6,100,100,83.4,71.4,36.8,96.6
University of Jordan,/universities/university-jordan,Asia,Jordan,Amman,https://www.topuniversities.com/sites/default/files/university-of-jordan_592560cf2aeae70239af533b_small.jpg,79.7,9,5,False,False,17,23,51,100,92,44,6,8,75,5,92.6,82.8,37.1,20.5,10.8,34.6,96.1,98.9,31.7,98.3
Sultan Qaboos University,/universities/sultan-qaboos-university,Asia,Oman,Muscat,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_small.jpg,79.2,10,,False,False,25,7,12,26,36,94,24,21,22,33,87.4,97.6,92.6,76.8,72.6,8.4,74.5,78.6,78.6,59.7
