University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Inbound Exchange Rank,Papers per Faculty Rank,Employer Reputation Rank,Faculty Student Ratio Rank,International Students Rank,Citations per Paper Rank,International Faculty Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,Outbound Exchange Rank,International Research Network Score,Inbound Exchange Score,Papers per Faculty Score,Employer Reputation Score,Faculty Student Ratio Score,International Students Score,Citations per Paper Score,International Faculty Score,Academic Reputation Score,Faculty Staff with PhD Score,Outbound Exchange Score
Peking University,/universities/peking-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,100,1,,False,False,20,87,69,5,19,69,24,47,2,49,14,96.8,56.5,73.3,99.8,97.5,58.5,97.4,77,100,99.8,99.9
The University of Hong Kong,/universities/university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,97.9,2,,False,False,21,28,141,32,60,11,13,6,7,51,4,96.7,97.1,42.8,88.4,87.5,99.9,99.5,100,99.9,99.4,100
National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,97.2,3,,False,False,4,89,123,8,73,29,3,9,3,137,62,99.8,55.6,50.2,99.4,81.7,95.3,99.9,100,100,72.8,77.9
"Nanyang Technological University, Singapore (NTU Singapore)",/universities/nanyang-technological-university-singapore-ntu-singapore,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,96.1,4,,False,False,8,36,121,20,69,31,2,11,10,210,29,99.4,93.2,50.2,95.8,82.7,94.3,100,100,99.3,41.5,96.3
Tsinghua University,/universities/tsinghua-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,96.1,5,,False,False,17,183,57,3,26,103,20,237,5,40,127,97.6,21.7,76.8,99.9,96.3,46.1,98.6,22,100,100,40.5
Zhejiang University,/universities/zhejiang-university,Asia,China (Mainland),Hangzhou,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg,94.6,6,,False,False,5,9,30,9,143,61,70,21,19,56,3,99.8,100,92.3,99.3,54.6,64.8,76.4,99.8,94.4,97.5,100
Fudan University,/universities/fudan-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,94.5,7,,False,False,52,22,129,15,56,57,38,25,12,180,40,87.9,99.3,48.2,98.5,88.9,65.4,90.8,97.7,98,54.2,91.9
Yonsei University,/universities/yonsei-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg,91.4,8,,False,False,44,15,181,7,47,41,114,128,16,54,69,89.6,100,33.4,99.5,91.2,79.7,58.8,40.6,97.4,97.9,68.3
Korea University,/universities/korea-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,90.9,9,,False,False,58,8,213,12,64,52,62,183,15,95,89,85.2,100,27.8,98.9,85.7,68.7,79.9,30.3,97.5,88.6,59.3
The Chinese University of Hong Kong (CUHK),/universities/chinese-university-hong-kong-cuhk,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29_0.jpg,90.8,10,,False,False,31,33,122,52,109,28,6,16,11,158,48,93.7,93.8,50.2,77.3,65.6,95.2,99.9,100,98.9,66.6,84.4
Shanghai Jiao Tong University,/universities/shanghai-jiao-tong-university,Asia,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,90.2,11,,False,False,23,26,19,17,133,53,94,92,13,174,71,95.6,98.5,96.6,97.2,60.1,67.9,65.7,51.4,97.7,57.6,66.7
Universiti Malaya (UM),/universities/universiti-malaya-um,Asia,Malaysia,Kuala Lumpur,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg,90.2,12,,False,False,3,45,193,10,75,38,120,44,18,131,65,99.9,90.4,30.7,99.2,80,83,56.7,78.6,96.1,73.5,75.1
KAIST - Korea Advanced Institute of Science & Technology,/universities/kaist-korea-advanced-institute-science-technology,Asia,South Korea,Daejeon,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,90.1,13,,False,False,91,81,40,16,94,131,48,115,9,31,151,71.5,59.5,85.4,97.6,71.8,34.5,84.6,44.8,99.3,100,30.6
The University of Tokyo,/universities/university-tokyo,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,88.9,14,,False,False,6,251,87,1,39,64,159,221,1,113,213,99.6,12.7,68.7,100,93.7,61.3,45.4,23.9,100,82.5,21.3
The Hong Kong University of Science and Technology,/universities/hong-kong-university-science-technology,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,88.5,15,,False,False,135,34,97,50,137,22,1,5,14,67,23,54,93.7,63.8,78.4,59,98.2,100,100,97.7,95.1,99
Seoul National University,/universities/seoul-national-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,88.3,16,,False,False,25,105,105,4,54,124,112,206,4,142,301+,95.1,47.2,57.7,99.9,89.4,37.2,59.2,26.3,100,71.6,11.5
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,87.7,17,6,False,False,66,2,38,88,50,3,8,3,26,35,1,82.9,100,86.1,53.4,90.6,100,99.8,100,86.6,100,100
Kyoto University,/universities/kyoto-university,Asia,Japan,Kyoto,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,87.7,18,,False,False,13,301+,117,2,22,90,168,168,6,87,301+,98.8,4.6,50.8,99.9,96.8,50.4,42.9,32.6,100,91.5,5.5
Sungkyunkwan University (SKKU),/universities/sungkyunkwan-universityskku,Asia,South Korea,Suwon,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,86.6,19,,False,False,94,11,192,29,62,55,78,135,24,36,31,69.7,100,30.7,90.1,86.5,66.4,73.2,37.7,90.6,100,95.8
Tohoku University,/universities/tohoku-university,Asia,Japan,Sendai City,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,84.5,20,,False,False,38,78,136,21,14,121,301+,175,21,64,41,91.2,61.7,45.9,95,99.3,38.9,15.3,31.4,93.4,95.8,89.3
National Taiwan University (NTU),/universities/national-taiwan-university-ntu,Asia,Taiwan,Taipei,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,82.9,21,,False,False,29,110,138,13,221,81,124,136,8,121,109,93.9,43.6,43.2,98.8,34.3,53.6,55.9,37.5,99.5,79.2,48.2
Pohang University of Science And Technology (POSTECH),/universities/pohang-university-science-technology-postech,Asia,South Korea,Pohang ,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,82.5,22,,False,False,301+,40,46,27,6,301+,35,78,35,24,58,13.4,91.3,83,91.1,100,9,92.2,60.1,81.3,100,79.8
The Hong Kong Polytechnic University,/universities/hong-kong-polytechnic-university,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,81.8,23,,False,False,22,64,107,77,105,25,9,13,22,301+,80,96.5,76.8,56.9,60.3,66.2,96.8,99.8,100,91.8,10.2,63.8
Osaka University,/universities/osaka-university,Asia,Japan,Osaka City,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,81.3,24,,False,False,39,82,52,18,175,123,301+,86,17,65,139,90.7,58.9,80.8,97.1,44.6,37.6,15.6,53.7,97.1,95.7,35.1
Universiti Putra Malaysia (UPM),/universities/universiti-putra-malaysia-upm,Asia,Malaysia,Seri Kembangan,https://www.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg,80.7,25,5,False,False,19,13,178,42,89,18,297,54,34,21,18,97.2,100,33.8,84.1,73.2,99.4,18.8,71.2,83,100,99.6
Hanyang University,/universities/hanyang-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,79.9,26,,False,False,71,41,262,22,58,42,89,149,39,209,107,80.5,91.2,22.3,93.7,88,78.1,67.2,36.1,79.6,41.7,50.2
Tokyo Institute of Technology (Tokyo Tech),/universities/tokyo-institute-technology-tokyo-tech,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,79.7,27,,False,False,105,157,74,11,51,62,301+,80,20,175,301+,67.2,25.4,72.3,99.1,90.1,64.1,15.4,57.7,94.3,57.5,3.7
Universiti Kebangsaan Malaysia (UKM),/universities/universiti-kebangsaan-malaysia-ukm,Asia,Malaysia,Bangi,https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg,76.7,28,5,False,False,14,168,243,38,59,37,301+,45,30,136,146,98.8,23.4,24.2,86.6,87.8,84,9.6,78.6,84.9,72.9,32.2
Al-Farabi Kazakh National University,/universities/al-farabi-kazakh-national-university,Asia,Kazakhstan,Almaty,https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,75.9,29,5,False,False,80,49,301+,25,10,54,301+,85,43,68,15,74.7,87.8,3,92.2,99.7,66.5,1.1,53.9,78,95.1,99.7
Nagoya University,/universities/nagoya-university,Asia,Japan,Nagoya,https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg,75.5,30,,False,False,64,272,133,43,46,98,292,161,25,96,301+,83.1,11,46.3,83.7,91.3,47.9,19,33.7,87.6,88.6,4
Kyushu University,/universities/kyushu-university,Asia,Japan,Fukuoka City,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg,74.7,31,,False,False,30,301+,149,35,53,75,301+,169,31,114,301+,93.7,3.6,39.9,87.3,89.9,55,13.3,32.4,84,81.1,3.2
Hokkaido University,/universities/hokkaido-university,Asia,Japan,Sapporo,https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg,74.1,32,,False,False,24,301+,142,40,74,116,301+,140,32,90,301+,95.5,4.4,42.3,84.9,81,40,16.9,37.3,84,89.9,2.1
Nanjing University,/universities/nanjing-university,Asia,China (Mainland),Nanjing,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg,72.9,33,,False,False,40,47,68,108,219,189,26,41,28,200,53,90.5,88.8,73.4,41.7,34.8,24.3,96.6,80.5,86,44.6,81.6
University of Science and Technology of China,/universities/university-science-technology-china,Asia,China (Mainland),Hefei,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg,71.8,34,,False,False,32,151,66,130,18,236,18,151,38,301+,43,93.4,26.9,73.7,34.8,97.5,18.3,98.9,36,80,3.1,88.5
Universiti Sains Malaysia (USM),/universities/universiti-sains-malaysia-usm,Asia,Malaysia,Gelugor,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg,71.6,35,,False,False,11,114,186,30,144,26,301+,99,29,249,176,99,40.3,31.6,88.6,54.4,96.3,8.4,48.6,85.5,28.8,26.6
Wuhan University,/universities/wuhan-university,Asia,China (Mainland),Wuhan,https://www.topuniversities.com/sites/default/files/wuhan-university_889_small.jpg,69.8,36,,False,False,16,143,91,63,301+,246,45,61,48,124,50,97.7,29.6,65.9,67,13.9,17.5,87.1,67.7,69.2,76,83.7
Universiti Teknologi Malaysia ,/universities/universiti-teknologi-malaysia,Asia,Malaysia,Skudai,https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg,69.7,37,5,False,False,12,56,128,45,166,27,300,157,46,155,159,98.9,78.9,48.7,81.4,47.1,95.2,17.7,34.6,72.1,67.2,29.4
Kyung Hee University,/universities/kyung-hee-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/230330065433am364143%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-48x48.jpg,68.1,38,,False,False,68,27,301+,72,55,39,130,176,64,81,36,82,97.5,15,63.6,89.1,82.6,53.5,31.4,54.4,92.2,93.4
National Tsing Hua University,/universities/national-tsing-hua-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,67.3,39,,False,False,123,301+,139,31,240,93,193,150,36,107,258,60,3.2,43.1,88.4,31.4,49.5,36.4,36.1,80.9,84.6,15.8
Indian Institute of Technology Bombay (IITB),/universities/indian-institute-technology-bombay-iitb,Asia,India,Mumbai,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg,67.2,40,,False,False,107,301+,21,19,301+,301+,301+,301+,33,41,301+,66.3,2.1,95.7,96,14.8,3,9.3,11.1,83.5,100,4.1
National Cheng Kung University (NCKU),/universities/national-cheng-kung-university-ncku,Asia,Taiwan,Tainan City,https://www.topuniversities.com/sites/default/files/230407032250am673777NCKU-Alt-GraphicSignature-NL-RGB-AW-48x48.jpg,66.6,41,,False,False,88,202,195,28,217,107,272,107,44,130,163,72.4,18.7,30.5,90.4,35.2,45,21.2,46.8,77.9,74.2,28.6
Taylor's University,/universities/taylors-university,Asia,Malaysia,Subang Jaya,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,66.6,42,5,False,False,157,62,301+,26,41,16,69,43,78,301+,20,45.2,77.3,9.5,92,92.4,99.7,76.4,79.7,45.8,1.1,99.5
Waseda University,/universities/waseda-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg,65.3,43,,False,False,65,171,301+,6,271,65,301+,87,27,301+,185,82.9,22.9,8.5,99.6,26.3,60.6,5.5,52.3,86.1,1.6,25.4
Chulalongkorn University,/universities/chulalongkorn-university,Asia,Thailand,Bangkok,https://www.topuniversities.com/sites/default/files/chulalongkorn-university_592560cf2aeae70239af4b01_small.jpg,65.1,44,,False,False,15,224,301+,66,218,301+,301+,167,23,123,239,97.9,15.6,11.5,66,35.1,9.9,15.1,32.9,90.8,77.8,17.9
Keio University,/universities/keio-university,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg,64.1,45,,False,False,103,175,301+,14,120,156,301+,234,42,301+,280,68.2,22.2,10.4,98.7,63.6,29.1,12.8,22.4,79,1,14
Indian Institute of Technology Delhi (IITD),/universities/indian-institute-technology-delhi-iitd,Asia,India,New Delhi,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg,64,46,,False,False,124,301+,44,24,284,301+,301+,301+,41,126,301+,59.7,2.1,83.3,93.1,24.1,3.4,14.2,5,79.4,75.4,4.3
National Yang Ming Chiao Tung University,/universities/national-yang-ming-chiao-tung-university,Asia,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/230525091126am408938230525%40400x-100-48x48.jpg,63.1,47,,False,False,146,241,78,36,116,99,301+,130,62,57,186,49.3,13.8,70.8,87.1,64.6,47,15.9,39.7,59.1,97.2,25.1
