University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Activity Rank,Desirability Rank,Student View Rank,Affordability Rank,Student Mix Rank,Rankings Rank,Employer Activity Score,Desirability Score,Student View Score,Affordability Score,Student Mix Score,Rankings Score
London,/university-rankings-articles/qs-best-student-cities/london,,United Kingdom,,,100,1,,False,False,8,20,=2,=142,6,2,91.7,87.4,98.4,26.2,94.7,94.9
Tokyo,/university-rankings-articles/qs-best-student-cities/tokyo,,Japan,,,98,2,,False,False,=4,10,22,=78,81,3,95.9,94,88.4,48.4,66.5,90.1
Seoul,/university-rankings-articles/qs-best-student-cities/seoul,,South Korea,,,97.6,3,,False,False,9,39,=41,68,46,1,91.6,75.5,81.5,51.8,81.1,100
Melbourne,/university-rankings-articles/qs-best-student-cities/melbourne,,Australia,,,97.3,4,,False,False,20,5,=2,=131,3,=10,84.5,96.7,98.4,30,98.6,71.6
Munich,/university-rankings-articles/qs-best-student-cities/munich,,Germany,,,97.1,5,,False,False,19,12,9,=63,9,33,86.1,91.4,95.8,54,93.6,58.1
Paris,/university-rankings-articles/qs-best-student-cities/paris,,France,,,96.3,6,,False,False,7,15,38,=86,35,5,94.5,89.4,82.3,43.9,84.8,80.1
Sydney,/university-rankings-articles/qs-best-student-cities/sydney,,Australia,,,96.2,7,,False,False,27,3,8,137,4,14,83,98.4,96.2,28.4,97.8,71
Berlin,/university-rankings-articles/qs-best-student-cities/berlin,,Germany,,,95,8,,False,False,23,11,1,61,45,34,84.2,91.5,100,54.5,81.3,57.2
Zurich,/university-rankings-articles/qs-best-student-cities/zurich,,Switzerland,,,95,9,,False,False,32,2,12,=94,29,25,81.5,99,94.7,41.5,88.6,63.4
Boston,/university-rankings-articles/qs-best-student-cities/boston,,United States,,,92.3,10,,False,False,3,33,6,154,33,7,97.3,79.3,96.6,20.6,85.2,76.3
Toronto,/university-rankings-articles/qs-best-student-cities/toronto,,Canada,,,92.1,11,,False,False,31,6,13,139,=13,26,81.9,96.5,94.3,27.9,91.8,62
Vienna,/university-rankings-articles/qs-best-student-cities/vienna,,Austria,,,91.1,12,,False,False,=42,4,17,74,27,73,75.4,98.2,92.1,49.5,89.5,44.9
Montreal,/university-rankings-articles/qs-best-student-cities/montreal,,Canada,,,90.9,13,,False,False,37,16,15,114,=19,29,78.1,88.7,93.6,37.2,90.9,59.7
Kyoto-Osaka-Kobe,/university-rankings-articles/qs-best-student-cities/kyoto-osaka-kobe,,Japan,,,90.8,14,,False,False,17,19,25,56,94,=10,86.7,87.5,87.1,56.6,58.5,71.6
Singapore,/university-rankings-articles/qs-best-student-cities/singapore,,Singapore,,,90.7,15,,False,False,24,21,14,109,=56,17,84,87.2,93.8,37.7,77,67.6
Edinburgh,/university-rankings-articles/qs-best-student-cities/edinburgh,,United Kingdom,,,90.2,16,,False,False,=49,32,16,126,2,23,74.2,79.6,93.4,34,99.7,64.3
New York,/university-rankings-articles/qs-best-student-cities/new-york,,United States,,,89.6,17,,False,False,=11,40,7,155,=50,6,91,75,96.3,20.5,79.1,80
Vancouver,/university-rankings-articles/qs-best-student-cities/vancouver,,Canada,,,88.7,18,,False,False,22,9,34,=131,=15,41,84.3,94.2,83.7,30,91.6,53.8
Lausanne,/university-rankings-articles/qs-best-student-cities/lausanne,,Switzerland,,,87.5,19,,False,False,26,29,57,=82,=13,39,83.4,80.7,76.4,44.3,91.8,54.9
San Francisco,/university-rankings-articles/qs-best-student-cities/san-francisco,,United States,,,87.4,20,,False,False,=4,44,=26,152,34,16,95.9,73.8,86.7,21.4,84.9,68.6
Hong Kong SAR,/university-rankings-articles/qs-best-student-cities/hong-kong-sar,,Hong Kong SAR,,,86.5,21,,False,False,=42,38,35,73,72,13,75.4,75.9,82.9,49.9,71.2,71.4
Brisbane,/university-rankings-articles/qs-best-student-cities/brisbane,,Australia,,,86.2,22,,False,False,=57,24,45,128,5,32,70.1,86.1,81.4,33.1,95.8,58.8
Stockholm,/university-rankings-articles/qs-best-student-cities/stockholm,,Sweden,,,86.2,23,,False,False,30,13,10,156,36,44,82.2,90.9,95.7,19,84.1,53.3
Amsterdam,/university-rankings-articles/qs-best-student-cities/amsterdam,,Netherlands,,,86.1,24,,False,False,67,7,11,147,10,=52,67.1,96.2,95.1,22.8,92.3,51.3
Kuala Lumpur,/university-rankings-articles/qs-best-student-cities/kuala-lumpur,,Malaysia,,,86.1,25,,False,False,16,101,67,9,76,21,87.5,49,73.2,81.1,68.1,65.8
Adelaide,/university-rankings-articles/qs-best-student-cities/adelaide,,Australia,,,86,26,,False,False,79,23,20,104,8,49,62.3,86.3,90.6,39.1,93.7,52.2
Los Angeles,/university-rankings-articles/qs-best-student-cities/los-angeles,,United States,,,85,27,,False,False,=11,=47,19,153,58,=18,91,72,91.5,21,76.8,67.2
Madrid,/university-rankings-articles/qs-best-student-cities/madrid,,Spain,,,85,28,,False,False,25,28,52,=124,43,30,83.9,82.5,77.9,34.4,81.5,59.3
Auckland,/university-rankings-articles/qs-best-student-cities/auckland,,New Zealand,,,84.8,29,,False,False,63,14,30,120,28,=59,68.8,89.9,86,35.2,89,49.5
Canberra,/university-rankings-articles/qs-best-student-cities/canberra,,Australia,,,83.9,30,,False,False,52,22,51,122,=31,43,72.5,86.7,78.6,34.9,87.4,53.6
Manchester,/university-rankings-articles/qs-best-student-cities/manchester,,United Kingdom,,,83.9,31,,False,False,=49,45,=41,102,21,36,74.2,72.7,81.5,39.4,90.7,55.5
Dublin,/university-rankings-articles/qs-best-student-cities/dublin,,Ireland,,,83.7,32,,False,False,47,31,39,149,7,28,74.4,79.8,82,22.3,93.8,60.5
Taipei,/university-rankings-articles/qs-best-student-cities/taipei,,Taiwan,,,83.5,33,,False,False,34,=75,=55,32,95,15,80.2,62.4,77,64.1,58.2,70
Buenos Aires,/university-rankings-articles/qs-best-student-cities/buenos-aires,,Argentina,,,83,34,,False,False,10,94,=36,=100,55,20,91.4,50.9,82.6,39.8,78,66.5
Perth,/university-rankings-articles/qs-best-student-cities/perth,,Australia,,,83,35,,False,False,80,27,50,=117,30,31,62.1,85,79.7,36.1,87.7,58.9
Glasgow,/university-rankings-articles/qs-best-student-cities/glasgow,,United Kingdom,,,82.9,36,,False,False,83,51,5,127,11,46,61.4,70.7,98,33.9,92.2,52.7
Beijing,/university-rankings-articles/qs-best-student-cities/beijing,,China (Mainland),,,81.8,37,,False,False,18,96,70,65,112,4,86.3,50.5,72.3,53.9,51.6,89
Barcelona,/university-rankings-articles/qs-best-student-cities/barcelona,,Spain,,,81.6,38,,False,False,38,30,53,=112,62,38,77.2,80.5,77.5,37.4,74.9,55.2
Chicago,/university-rankings-articles/qs-best-student-cities/chicago,,United States,,,81.5,39,,False,False,21,53,=41,150,59,=18,84.4,70.4,81.5,22.2,76.1,67.2
Leuven,/university-rankings-articles/qs-best-student-cities/leuven,,Belgium,,,81.5,40,,False,False,46,77,=55,=88,18,40,74.9,61.8,77,43.4,91.1,54
Newcastle Upon Tyne,/university-rankings-articles/qs-best-student-cities/newcastle-upon-tyne,,United Kingdom,,,81.5,41,,False,False,69,73,29,=106,12,35,66.3,63.4,86.2,38.2,92.1,55.9
Prague,/university-rankings-articles/qs-best-student-cities/prague,,Czech Republic,,,81.5,42,,False,False,48,55,=26,81,23,92,74.3,68,86.7,45.4,90.2,37.5
Copenhagen,/university-rankings-articles/qs-best-student-cities/copenhagen,,Denmark,,,79.8,43,,False,False,55,1,32,158,=56,69,70.9,100,85,15.7,77,45.3
Bristol,/university-rankings-articles/qs-best-student-cities/bristol,,United Kingdom,,,78.4,44,,False,False,89,67,=26,=117,17,56,57.9,65,86.7,36.1,91.4,49.7
Coventry,/university-rankings-articles/qs-best-student-cities/coventry,,United Kingdom,,,78.4,45,,False,False,82,=81,47,=110,1,62,61.6,58.2,80.5,37.5,100,49.1
Lyon,/university-rankings-articles/qs-best-student-cities/lyon,,France,,,78.4,46,,False,False,95,56,60,50,47,66,55.6,67.6,76.2,58.8,80.7,47.8
Santiago,/university-rankings-articles/qs-best-student-cities/santiago,,Chile,,,76.9,47,,False,False,6,91,80,=100,99,=10,95.2,52.2,64.9,39.8,55.5,71.6
