University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Diversity Rank,Employability Rank,Alumni Outcomes Rank,Value for Money Rank,Thought Leadership Rank,Diversity Score,Employability Score,Alumni Outcomes Score,Value for Money Score,Thought Leadership Score
UCLA (Anderson),/universities/university-california-los-angeles-ucla/ucla-anderson-school-management,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/ucla-anderson-master-of-financial-engineering-mfe_592560cf2aeae70239af5716_small.jpg,100,1,,False,False,42,3,=1,12,1,70.8,97.2,100,94.4,97.5
MIT (Sloan),/universities/massachusetts-institute-technology-mit/mit-sloan-school-management,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/mit-sloan-school-of-management_592560cf2aeae70239af56bf_small.jpg,99.9,2,,False,False,71-80,2,=1,9,2,61.5,99.8,100,95.5,96.3
ESSEC/CentraleSupélec,/universities/essec-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/essec-business-school_198_small_5.jpg,99.6,3,,True,False,3,6,5,=10,4,96.1,93.6,96.6,95.3,90.9
Ecole Polytechnique/HEC Paris,/universities/ecole-polytechnique,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,99,4,,False,False,61-70,1,7,13,1,62.9,100,93.4,93.4,100
Duke (Fuqua),/universities/duke-university/fuqua-school-business,North America,United States,Durham (NC),https://www.topuniversities.com/sites/default/files/profiles/logos/the-fuqua-school-of-business_592560cf2aeae70239af56da_small.jpg,91.6,5,,False,False,=40,14,4,=4,7,70.9,80,98.5,97.6,83.7
Imperial College Business School,/universities/imperial-college-london/imperial-college-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/imperial-college-business-school_592560cf2aeae70239af580f_small.jpg,91.5,6,,False,False,12,=4,17,51-60,4,84.7,97,83.6,73,89.9
ESCP Business School,/universities/escp-business-school-paris,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,88.7,7,,False,False,5,9,12,16,33,94.8,89.3,89.3,91.8,59.8
IE Business School,/universities/ie-university/ie-business-school,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/profiles/logos/230302032731pm314785IE-BS-logo-200x200-48x48.jpg,88,8,,False,False,19,=4,25,23,26,83.1,97,77.7,88.8,64.8
Texas (McCombs),/universities/university-texas-austin/university-texas-austin-mccombs-school-business,North America,United States,Austin (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-austin-mccombs-school-of-business_592560cf2aeae70239af5707_small.jpg,84.5,9,,False,False,101+,28,14,3,6,48.8,70.6,88.7,98.8,85.3
NUS Business School,/universities/national-university-singapore-nus/nus-business-school,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/profiles/logos/nus-business-school_592560cf2aeae70239af5575_small.jpg,83.6,10,,False,False,44,=12,23,17,16,70.2,80.1,79,91.2,73.6
USC (Marshall),/universities/university-southern-california/marshall-school-business,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/marshall-school-of-business_592560cf2aeae70239af573b_small.jpg,83.5,11,,False,False,=29,34,3,25,18,77.1,66.6,99.6,88.4,72.3
Toronto (Rotman),/universities/university-toronto/rotman-school-management,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-toronto_592560cf2aeae70239af55e4_small.jpg,81,12,,False,False,38,25,10,49,17,72.2,73.7,90.9,76.9,72.5
McGill (Desautels),/universities/mcgill-university/desautels-faculty-management-mcgill-university,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/desautels-faculty-of-management-mcgill-university_14495_small.jpg,80.9,13,,False,False,13,15,9,51-60,43,84.6,79.4,93,75.6,56.6
Warwick Business School,/universities/university-warwick/warwick-business-school,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/profiles/logos/warwick-business-school_592560cf2aeae70239af5573_small.jpg,80.6,14,,False,False,1,16,30,91-100,5,96.8,78,74.7,56.2,88.7
Melbourne Business School,/universities/university-melbourne/melbourne-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/melbourne-business-school_592560cf2aeae70239af58bc_small.jpg,79.9,15,,False,False,48,17,18,51-60,12,69,76.9,82.3,74,75.6
Washington (Foster),/universities/university-washington/university-washington-foster-school-business,North America,United States,Seattle (WA),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-washington_592560cf2aeae70239af5744_small.jpg,79.4,16,,False,False,45,51-60,6,8,10,69.4,48.8,96.3,96.1,79.6
Manchester (Alliance),/universities/university-manchester/alliance-manchester-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/alliance-manchester-business-school_592560cf2aeae70239af556d_small.jpg,78.2,17,,False,False,14,=12,20,101+,8,84.5,80.1,81.5,49,81.6
Esade Business School,/universities/esade,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230126101541am990261logo-esade-200x200-48x48.jpg,77.8,18,,False,False,37,8,=49,45,36,72.4,89.8,63.9,78.8,58.9
EGADE Business School,/universities/tecnologico-de-monterrey/egade-business-school,Latin America,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/profiles/logos/egade-business-school_592560cf2aeae70239af558c_small.jpg,76.6,19,,False,False,101+,19,15,1,51-60,33,75.7,85.8,100,51
Erasmus (RSM),/universities/erasmus-university-rotterdam/rotterdam-school-management-erasmus-university,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/210722010220pm240208Untitled-design-48x48.jpg,76,20,,False,False,51-60,10,51-60,61-70,24,67.9,88.5,62.3,68.8,66.6
