University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Value for Money Rank,Thought Leadership Rank,Diversity Rank,Alumni Outcomes Rank,Employability Rank,Value for Money Score,Thought Leadership Score,Diversity Score,Alumni Outcomes Score,Employability Score
HEC Paris,/universities/hec-paris-business-school/hec-paris-mba,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/hec-paris-mba_15094_small.jpg,100,1,,False,False,=1,1,54,=1,4,100,99.4,71.1,100,98.8
Oxford (Said),/universities/university-oxford/said-business-school,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/profiles/logos/sad-business-school_592560cf2aeae70239af5572_small.jpg,100,2,,False,False,5,=5,39,=4,=1,99,96.2,76.1,99.9,100
London Business School,/universities/london-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/london-business-school_592560cf2aeae70239af4be5_small.jpg,99.6,3,,False,False,=9,=5,=37,=1,3,97.1,96.2,76.2,100,99.7
MIT (Sloan),/universities/massachusetts-institute-technology-mit/mit-sloan-school-management,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/mit-sloan-school-of-management_592560cf2aeae70239af56bf_small.jpg,99.1,4,,False,False,=14,3,28,=1,6,96.5,96.4,78.7,100,97.8
UC Berkeley (Haas),/universities/university-california-berkeley-ucb/haas-school-business-university-california-berkeley,North America,United States,Berkeley (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/haas-school-of-business_592560cf2aeae70239af5717_small.jpg,95.1,5,,False,False,7,4,131-140,=11,7,98.1,96.3,52.2,98.2,95
Cambridge (Judge),/universities/university-cambridge/cambridge-judge-business-school,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/profiles/logos/judge-business-school_592560cf2aeae70239af582c_small.jpg,94.9,6,,False,False,=45,7,66,10,=1,81.6,95.4,68.7,98.8,100
ESSEC Business School,/universities/essec-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/essec-business-school_198_small.jpg,94.6,7,,False,False,=1,12,26,=11,15,100,92.2,80.7,98.2,85.2
London School of Economics,/universities/london-school-economics-political-science-lse,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/london-school-of-economics-and-political-science-lse_362_small.jpg,94.5,8,,False,False,33,2,17,6,10,84.4,97.2,83.9,99.7,89.7
UCLA (Anderson),/universities/university-california-los-angeles-ucla/ucla-anderson-school-management,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/ucla-anderson-master-of-financial-engineering-mfe_592560cf2aeae70239af5716_small.jpg,93.8,9,,False,False,=14,9,111-120,=4,9,96.5,94,54.6,99.9,91.7
Bocconi University,/universities/bocconi-university/sda-bocconi-school-management,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/profiles/logos/sda-bocconi-school-of-management_592560cf2aeae70239af555f_small.jpg,90.7,10,,False,False,16,8,65,23,14,95.1,94.6,68.9,85.4,87.7
IE Business School,/universities/ie-university/ie-business-school,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/profiles/logos/230302032731pm314785IE-BS-logo-200x200-48x48.jpg,89,11,,False,False,17,18,=29,22,16,94.9,85.8,78.6,86.1,84.7
Copenhagen Business School,/universities/copenhagen-business-school,Europe,Denmark,Copenhagen,https://www.topuniversities.com/sites/default/files/profiles/logos/copenhagen-business-school_710_small.jpg,87.3,12,,False,False,73,14,86,=8,13,71.3,90.1,63.5,99.1,88.9
Imperial College Business School,/universities/imperial-college-london/imperial-college-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/imperial-college-business-school_592560cf2aeae70239af580f_small.jpg,86.9,13,,False,False,91,13,47,=24,5,65.3,91.4,73.2,82.5,98.6
ESCP Europe,/universities/escp-business-school-paris,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,86.1,14,,False,False,=1,28,42,38,11,100,74,74.5,74.6,89.6
Toronto (Rotman),/universities/university-toronto/rotman-school-management,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-toronto_592560cf2aeae70239af55e4_small.jpg,84.4,15,,False,False,48,15,50,21,17,78.9,89.7,72.4,87.3,80.5
WU Vienna University,/universities/wu-vienna-university-economics-business,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/profiles/logos/wu-vienna-university-of-economics-and-business_592560cf2aeae70239af4d89_small.jpg,83.9,16,,False,False,101-110,11,=32,=24,8,58.5,93.2,76.9,82.5,91.8
EMLyon Business School,/universities/emlyon-business-school,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/profiles/logos/211005052214pm924585emlyon-logo-seul-cmjn-48x48.jpg,82.9,17,,False,False,6,24,22,19,35,98.5,77.5,81.9,88.8,66.5
Esade Business School,/universities/esade,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230126101541am990261logo-esade-200x200-48x48.jpg,81.8,18,,False,False,=23,25,=63,54,12,89.5,77.2,69,65.7,89.2
Warwick Business School,/universities/university-warwick/warwick-business-school,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/profiles/logos/warwick-business-school_592560cf2aeae70239af5573_small.jpg,80.2,19,,False,False,=88,10,11,40,=21,66.7,93.6,88.5,73.3,77.2
McGill (Desautels),/universities/mcgill-university/desautels-faculty-management-mcgill-university,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/desautels-faculty-of-management-mcgill-university_14495_small.jpg,79.3,20,,False,False,64,29,=63,14,24,73.9,72.4,69,94.2,75.9
EDHEC Business School,/universities/edhec-business-school,Europe,France,Roubaix,https://www.topuniversities.com/sites/default/files/profiles/logos/edhec-business-school_179_small.jpg,77.7,21,,False,False,13,30,53,42,30,96.7,72.2,71.3,72,70.1
University of St.Gallen,/universities/university-stgallen-hsg/university-st-gallen-mba,Europe,Switzerland,St. Gallen,https://www.topuniversities.com/sites/default/files/profiles/logos/the-st.gallen-mba-university-of-st.gallen_14578_small.png,76.8,22,,False,False,18,40,73,15,40,92.8,64.2,66.6,93.3,63.1
