University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Thought Leadership Rank,Alumni Outcomes Rank,Diversity Rank,Value for Money Rank,Employability Score,Thought Leadership Score,Alumni Outcomes Score,Diversity Score,Value for Money Score
HEC Paris,/universities/hec-paris-business-school/hec-paris-mba,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/hec-paris-mba_15094_small.jpg,100,1,,False,False,1,4,1,49,9,100,90.9,100,76.3,97
ESSEC Business School,/universities/essec-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/essec-business-school_198_small.jpg,96.2,2,,False,False,7,6,4,17,6,88.1,89.7,98.9,86.3,98.4
IE Business School,/universities/ie-university/ie-business-school,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/profiles/logos/230302032731pm314785IE-BS-logo-200x200-48x48.jpg,95.5,3,,False,False,2,20,6,3,=17,99.7,73.6,92.2,98.2,90.4
ESCP Business School,/universities/escp-business-school-paris,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,94.5,4,,False,False,4,13,21,7,5,96.2,82.5,75.1,93.6,98.6
Imperial College Business School,/universities/imperial-college-london/imperial-college-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/imperial-college-business-school_592560cf2aeae70239af580f_small.jpg,94,5,,True,False,2,3,15,=25,22,97.3,91.2,77.9,83.4,88.7
Columbia Business School,/universities/columbia-university/columbia-business-school,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/columbia-business-school_592560cf2aeae70239af56d0_small.jpg,92.8,6,,False,False,6,2,2,81-90,25,91.2,93.5,99.9,60.2,87.1
EMLyon Business School,/universities/emlyon-business-school,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/emlyon.jpg,87.8,7,,True,False,15,11,=12,11,4,77.2,84.5,79.9,90.1,99
Esade Business School,/universities/esade,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230126101541am990261logo-esade-200x200-48x48.jpg,88.6,8,,False,False,5,10,29,20,26,93.3,85,65.8,85,86.6
Warwick Business School,/universities/university-warwick/warwick-business-school,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/profiles/logos/warwick-business-school_592560cf2aeae70239af5573_small.jpg,86.8,9,,False,False,8,1,26,5,47,84.5,97.6,69.2,94.1,74.4
EDHEC Business School,/universities/edhec-business-school,Europe,France,Roubaix,https://www.topuniversities.com/sites/default/files/profiles/logos/edhec-business-school_179_small.jpg,85.3,10,,False,False,12,21,17,33,=1,80.9,72.7,76.7,81,100
WU Vienna University,/universities/wu-vienna-university-economics-business,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/profiles/logos/wu-vienna-university-of-economics-and-business_592560cf2aeae70239af4d89_small.jpg,83.2,11,,False,False,9,19,5,=25,51-60,84.4,73.7,94.5,83.4,69.4
SKEMA Business School,/universities/skema-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/skema-business-school_592560cf2aeae70239af4af5_small.jpg,81.3,12,,False,False,15,16,=43,4,=28,79.4,76.3,59.9,98.1,86
Manchester (Alliance),/universities/university-manchester/alliance-manchester-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/alliance-manchester-business-school_592560cf2aeae70239af556d_small.jpg,81.1,13,,False,False,14,8,18,30,51-60,80.5,88,76.6,82.3,67.2
Texas (McCombs),/universities/university-texas-austin/university-texas-austin-mccombs-school-business,North America,United States,Austin (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-austin-mccombs-school-of-business_592560cf2aeae70239af5707_small.jpg,79.6,14,,False,False,33,7,7,91-100,=12,61.4,89.3,91.7,57.9,93.4
University of Edinburgh Business School,/universities/university-edinburgh-business-school,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-edinburgh-business-school_14432_small.jpg,77.2,15,,False,False,17,5,36,19,61-70,76.3,90.6,62.9,85.3,64
USC (Marshall),/universities/university-southern-california/marshall-school-business,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/marshall-school-of-business_592560cf2aeae70239af573b_small.jpg,76.9,16,,False,False,36,17,3,81-90,15,59.5,76,99.2,61,91.4
University of St.Gallen,/universities/university-stgallen-hsg/university-st-gallen-mba,Europe,Switzerland,St. Gallen,https://www.topuniversities.com/sites/default/files/profiles/logos/the-st.gallen-mba-university-of-st.gallen_14578_small.png,75.5,17,,False,False,22,51-60,9,45,14,69,55.5,85.1,77.7,91.5
Cranfield School of Management,/universities/cranfield-university/cranfield-school-management,Europe,United Kingdom,Bedford,https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-1-48x48.jpg,74.8,18,,False,False,10,26,30,51-60,61-70,82.9,68.3,65.6,75.7,66.8
Minnesota (Carlson),/universities/university-minnesota-twin-cities/carlson-school-management,North America,United States,Minneapolis (MN),https://www.topuniversities.com/sites/default/files/profiles/logos/carlson-school-of-management_592560cf2aeae70239af57d1_small.jpg,72.8,19,,False,False,28,31,14,101+,10,63.8,65.5,79.8,50.7,96.8
Trinity Business School,/universities/trinity-college-dublin-university-dublin/trinity-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/trinity-college-dublin_19518_small.jpg,72.5,20,,False,False,11,37,24,11,71-80,81.6,63.2,70.3,90.4,53.7
Audencia Business School,/universities/audencia-business-school,Europe,France,Nantes,https://www.topuniversities.com/sites/default/files/profiles/logos/audencia-business-school_592560cf2aeae70239af4db3_small.jpg,71.8,21,,False,False,26,29,47,48,22,66.2,67.2,58.5,76.4,89.1
Erasmus (RSM),/universities/erasmus-university-rotterdam/rotterdam-school-management-erasmus-university,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/210722010220pm240208Untitled-design-48x48.jpg,71.2,22,,False,False,18,24,39,=38,61-70,75.3,70.6,61.6,79.6,63.6
Vlerick Business School,/universities/vlerick-business-school,Europe,Belgium,Gent,https://www.topuniversities.com/sites/default/files/profiles/logos/vlerick-business-school_592560cf2aeae70239af4d14_small.jpg,69.6,23,,False,False,20,71-80,33,61-70,=28,74.4,44.8,64.7,70.5,86
Leeds University Business School,/universities/university-leeds/leeds-university-business-school,Europe,United Kingdom,Leeds,https://www.topuniversities.com/sites/default/files/profiles/logos/leeds-university-business-school-university-of-leeds_15210_small.jpg,66.8,24,,False,False,27,9,=43,40,91-100,65.1,87.6,59.9,78.6,47.2
BI Norwegian Business School,/universities/bi-norwegian-business-school,Europe,Norway,Oslo,https://www.topuniversities.com/sites/default/files/profiles/logos/bi-norwegian-business-school_592560cf2aeae70239af4abb_small.jpg,65.9,25,,False,False,13,45,51-60,91-100,61-70,80.8,59,53.1,57.3,60
Grenoble Ecole de Management,/universities/grenoble-ecole-de-management/grenoble-ecole-de-management,Europe,France,Grenoble,https://www.topuniversities.com/sites/default/files/profiles/logos/grenoble-ecole-de-management-grenoble-gsb_592560cf2aeae70239af5883_small.jpg,65.9,26,,False,False,32,15,46,14,71-80,61.5,78.1,58.8,87.6,55.5
Michigan State (Eli Broad),/universities/michigan-state-university/michigan-state-university-broad-college-business,North America,United States,East Lansing (MI),https://www.topuniversities.com/sites/default/files/profiles/logos/230816025324pm355461Broad-and-FTMBA-Avatars-Page-1-48x48.jpg,65.9,27,,False,False,51-60,41,28,71-80,11,51.3,62.3,67.2,65.6,93.9
"Macquarie Business School, Macquarie University",/universities/macquarie-university/macquarie-business-school-sydney-australia,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/macquarie-graduate-school-of-management_592560cf2aeae70239af56b9_small.jpg,65.3,28,,False,False,37,71-80,41,27,16,59.4,44.6,60.3,83.1,91.2
Purdue (Krannert),/universities/purdue-university/mitchell-e-daniels-jr-school-business,North America,United States,West Lafayette (IN),https://www.topuniversities.com/sites/default/files/profiles/logos/230302034640pm801029Purd-Uni-logo-48x48.jpg,65.1,29,,False,False,51-60,36,25,101+,8,49.9,63.4,69.4,50,97.6
UCD (Smurfit),/universities/university-college-dublin/ucd-michael-smurfit-graduate-business-school,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/ucd-michael-smurfit-graduate-business-school_592560cf2aeae70239af558b_small.jpg,63.8,30,,False,False,19,=34,37,61-70,91-100,74.7,63.8,61.9,68.6,44.7
Texas A&M (Mays),/universities/texas-am-university/mays-business-school,North America,United States,College Station (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/mays-business-school_592560cf2aeae70239af56ff_small.jpg,62.4,31,,False,False,51-60,42,27,101+,=20,50.3,61.6,67.6,48.8,89.2
Durham University Business School,/universities/durham-university-business-school,Europe,United Kingdom,Durham,https://www.topuniversities.com/sites/default/files/profiles/logos/durham-university-business-school-_592560cf2aeae70239af595f_small.jpg,61.3,32,,False,False,24,32,71-80,=38,81-90,68.3,65.1,45,79.6,51.2
IESEG,/universities/ieseg-school-management-lille-paris-france,Europe,France,Lille,https://www.topuniversities.com/sites/default/files/profiles/logos/iseg-school-of-management-lille-paris-france_2447_small.jpg,61.1,33,,False,False,81-90,44,23,6,45,40.6,60.7,73.2,94,74.8
KEDGE Business School,/universities/kedge-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/kedge-business-school_592560e19988f300e2320ed3_small.jpg,60.9,34,,False,False,25,61-70,49,23,71-80,67.4,50.5,55.4,84.4,55.2
Bayes Business School (formerly Cass),/universities/city-university-london/bayes-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/210901094104am941328BayesBusinessSchool-FullLogo-RGB-48x48.jpg,60.8,35,,False,False,50,14,=19,51-60,101+,52.4,79.4,75.9,75.5,41
Politecnico di Milano,/universities/polimi-graduate-school-management,Europe,Italy,Milano,https://www.topuniversities.com/sites/default/files/profiles/logos/220518034753pm4921441651566898417-48x48.jpg,60.3,36,,False,False,31,61-70,81-90,71-80,27,61.6,49.4,38.8,64.6,86.4
John Hopkins (Carey),/universities/johns-hopkins-university/john-hopkins-carey-business-school,North America,United States,Baltimore (MD),https://www.topuniversities.com/sites/default/files/profiles/logos/carey-business-school_592560cf2aeae70239af5574_small.jpg,59.8,37,,False,False,61-70,51-60,12,81-90,44,47.7,52.5,80.5,63,75
Florida International,/universities/florida-international-university/chapman-graduate-school-business-fiu,North America,United States,Miami (FL),https://www.topuniversities.com/sites/default/files/profiles/logos/chapman-graduate-school-of-business-fiu_592560cf2aeae70239af5568_small.jpg,58.9,38,,False,False,61-70,71-80,42,51-60,24,49.6,44,60.1,71.5,87.6
Lancaster University,/universities/lancaster-university/lancaster-university-management-school,Europe,United Kingdom,Lancaster,https://www.topuniversities.com/sites/default/files/profiles/logos/lancaster-university-management-school_5190_small.jpg,58.5,39,,False,False,49,12,51-60,51-60,91-100,52.6,83.2,52.8,73.6,45.9
York (Schulich),/universities/york-university/schulich-school-business-york-university,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/profiles/logos/schulich-school-of-business-york-university_14164_small.jpg,58.3,40,,False,False,51-60,61-70,10,61-70,61-70,49.9,45.7,83.1,70.2,66
Liverpool Management School,/universities/university-liverpool/university-liverpool-management-school,Europe,United Kingdom,Liverpool,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-liverpool-management-school_592560cf2aeae70239af586a_small.jpg,57.5,41,,False,False,44,46,48,32,71-80,55.3,58.6,55.8,81.2,55.3
Bath School of Management,/universities/university-bath/university-bath-school-management,Europe,United Kingdom,Bath,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-bath-school-of-management_592560cf2aeae70239af55b4_small.jpg,57.4,42,,False,False,30,25,45,16,101+,61.8,69.6,59,86.5,27.3
Maryland (Smith),/universities/university-maryland-college-park/university-maryland-robert-h-smith-school-business,North America,United States,College Park (MD),https://www.topuniversities.com/sites/default/files/profiles/logos/robert-h.-smith-school-of-business_14553_small.jpg,57.3,43,,False,False,91-100,50,8,91-100,=34,35.7,55.7,87.9,58.4,78.8
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,57.2,44,,False,False,21,33,71-80,81-90,101+,71.5,63.9,42.9,60,40.5
Universidad Complutense de Madrid (UCM),/universities/complutense-university-madrid,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg,57,45,,False,False,51-60,40,50,9,81-90,50.4,62.7,54.8,92.3,53
Universidad Carlos III de Madrid,/universities/universidad-carlos-iii-de-madrid-uc3m/universidad-carlos-iii-de-madrid-business-school,Europe,Spain,Madrid,https://www.topuniversities.com/sites/default/files/profiles/logos/universidad-carlos-iii-de-madrid-the-business-school_592560cf2aeae70239af570c_small.jpg,56.7,46,,False,False,46,28,101+,61-70,41,54.2,67.7,23,66.9,76.4
Aston Business School,/universities/aston-university/aston-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/aston-business-school_592560cf2aeae70239af558d_small.jpg,56,47,,False,False,41,71-80,71-80,51-60,51-60,58.2,45.2,44.3,72,70.4
EAE Business School,/universities/eae-business-school,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/eae-business-school_592560cf2aeae70239af4b30_small.jpg,55.5,48,,False,False,35,101+,101+,46,7,60.3,23.7,24.8,77.1,98
Arizona (Eller),/universities/university-arizona/eller-college-management-university-arizona,North America,United States,Tucson (AZ),https://www.topuniversities.com/sites/default/files/profiles/logos/eller-college-of-management-university-of-arizona-_592560cf2aeae70239af5712_small.jpg,55.4,49,,False,False,81-90,51-60,15,101+,=34,38.4,51.5,79.3,54.1,78.8
Exeter Business School,/universities/university-exeter/university-exeter-business-school,Europe,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/profiles/logos/230821123018pm419370uebs-simplified-portrait-200x200-48x48.jpg,55.4,50,,False,False,51-60,51-60,51-60,28,61-70,51.2,51.5,50.4,83,63.9
Toulouse Business School,/universities/tbs-education,Europe,France,Toulouse,https://www.topuniversities.com/sites/default/files/profiles/logos/211004092943am9012571-Logo-TBS-Education-ROND-CMJN-fond-rouge-2020-48x48.jpg,55.8,51,,True,False,61-70,48,91-100,17,42,48.3,56.3,34.4,86.4,75.5
American (Kogod),/universities/american-university/kogod-school-business,North America,United States,"Washington, D.C",https://www.topuniversities.com/sites/default/files/profiles/logos/kogod-school-of-business_592560cf2aeae70239af56c5_small.jpg,54.7,52,,False,False,51-60,101+,=19,101+,50,51.5,35.4,75.9,54.9,71.3
Birmingham Business School,/universities/university-birmingham/birmingham-business-school,Europe,United Kingdom,Birmingham,https://www.topuniversities.com/sites/default/files/profiles/logos/birmingham-business-school_592560cf2aeae70239af55b3_small.jpg,54.9,53,,False,False,51-60,22,51-60,44,101+,51.9,72,52.8,78.1,40.6
ESIC Business & Marketing School,/universities/esic,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/Logo-ESIC-200x200-1-48x48.jpg,54.9,54,,False,False,45,101+,91-100,51-60,=12,55.1,29.3,34.8,74,93.4
Glasgow (Adam Smith),/universities/university-glasgow/university-glasgow-adam-smith-business-school,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/profiles/logos/adam-smith-business-school_592560cf2aeae70239af571f_small.jpg,54.5,55,,False,False,43,18,61-70,35,101+,55.5,75.1,49.1,80.5,30.7
Lund University,/universities/lund-university/lund-university-school-economics-management,Europe,Sweden,Lund,https://www.topuniversities.com/sites/default/files/profiles/logos/school-of-economics-and-management_59b5a193ca24f3142470b15c_small.jpg,54,56,,False,False,91-100,48,61-70,51-60,31,35.7,56.9,49.6,76,83.5
Newcastle University Business School,/universities/newcastle-university/newcastle-university-business-school,Europe,United Kingdom,Newcastle,https://www.topuniversities.com/sites/default/files/profiles/logos/211110110522am602642QS-profile-logo-48x48.jpg,53.7,57,,False,False,29,47,81-90,51-60,101+,63.7,58.4,37.1,74.7,41.2
Nottingham University Business School,/universities/university-nottingham/nottingham-university-business-school,Europe,United Kingdom,Nottingham,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-nottingham-business-school_5171_small.jpg,52.3,58,,False,False,61-70,23,38,36,101+,48.7,71.1,61.7,79.8,27.8
Strathclyde Business School,/universities/university-strathclyde/strathclyde-business-school,Europe,United Kingdom,Glasgow,https://www.topuniversities.com/sites/default/files/profiles/logos/graduate-school-of-business-university-of-strathclyde_9015_small.jpg,54.5,59,,False,False,47,39,61-70,61-70,81-90,53.8,62.9,47.2,69.8,52.8
University of Technology Sydney Business School,/universities/university-technology-sydney/uts-business-school,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-technology-sydney_592560cf2aeae70239af58ee_small.jpg,54.8,60,,False,False,61-70,81-90,61-70,24,38,46.3,43,49.5,84,78.2
Alabama (Manderson),/universities/university-alabama-manderson,North America,United States,Tuscaloosa (AL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-alabama-manderson_592560cf2aeae70239af56ba_small.jpg,50.7,61,,False,False,91-100,71-80,51-60,91-100,19,34.9,44.5,52.3,58.9,89.4
DCU Business School,/universities/dublin-city-university/dcu-business-school-dublin-city-university-dcu,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/dcu-business-school-dublin-city-university-dcu_59b4587aca24f31425685e82_small.jpg,51.9,62,,False,False,=38,61-70,91-100,51-60,71-80,58.9,49.3,32.3,74.4,55.3
ICN Business School,/universities/icn-business-school,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/230517085820am925464Logo-petit-48x48.jpg,51.5,63,,False,False,91-100,101+,91-100,2,3,35.4,32.5,32,98.7,99.5
Montpellier Business School,/universities/montpellier-business-school,Europe,France,Montpellier,https://www.topuniversities.com/sites/default/files/profiles/logos/montpellier-business-school_592560e99988f300e2322502_small.jpg,48.9,64,,False,False,81-90,91-100,101+,10,36,40.9,41.6,24.7,91,78.6
Pittsburgh (Katz),/universities/university-pittsburgh/katz-graduate-school-business,North America,United States,Pittsburg (PA),https://www.topuniversities.com/sites/default/files/profiles/logos/230802061723pm198809katz-200-48x48.jpg,48.9,65,,False,False,101+,51-60,35,101+,51-60,34.3,50.9,63.9,52.5,70.9
Rochester (Simon),/universities/university-rochester/simon-business-school-university-rochester,North America,United States,Rochester (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/221114024305pm8820692022-Logo-Sponsor-Formal-48x48.jpg,51.7,66,,False,False,61-70,91-100,40,101+,51-60,49.7,38.7,61,51.2,70.8
Sheffield University Management School,/universities/university-sheffield/university-sheffield-management-school,Europe,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-sheffield-management-school_14520_small.jpg,50.7,67,,False,False,61-70,30,61-70,61-70,91-100,47,66.8,47.5,66.5,45.9
Syracuse (Whitman),/universities/syracuse-university/martin-j-whitman-school-management,North America,United States,Syracuse (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/martin-j.-whitman-school-of-management_592560cf2aeae70239af55a8_small.jpg,50.9,68,,False,False,71-80,81-90,22,101+,51-60,41.3,42.9,74.3,47.6,69.8
UT Dallas (Naveen),/universities/university-texas-dallas/naveen-jindal-school-management,North America,United States,Dallas (TX),https://www.topuniversities.com/sites/default/files/profiles/logos/the-university-of-texas-at-dallas-naveen-jindal-school-of-management_592560cf2aeae70239af58c1_small.jpg,49,69,,False,False,81-90,51-60,81-90,101+,30,38.4,50.9,36.4,51.9,85.2
Universidad ORT Uruguay,/universities/universidad-ort-uruguay,Latin America,Uruguay,Montevideo,https://www.topuniversities.com/sites/default/files/universidad-ort-uruguay_470_small.jpg,50.2,70,,False,False,=38,101+,101+,101+,=17,58.9,28.3,20,49.3,90.4
Vanderbilt (Owen),/universities/vanderbilt-university/owen-graduate-school-management,North America,United States,Nashville (TN),https://www.topuniversities.com/sites/default/files/profiles/logos/vanderbilt-university_14592_small.jpg,49.4,71,,False,False,81-90,81-90,34,101+,43,38.4,43.1,64.2,48.5,75.4
Concordia (John Molson),/universities/concordia-university/john-molson-school-business,North America,Canada,Montreal,https://www.topuniversities.com/sites/default/files/profiles/logos/210812053433pm136199Logo-200x200-48x48.jpg,46.2,72,,False,False,71-80,91-100,61-70,71-80,61-70,43.6,39.1,49,65,60.1
Fordham (Gabelli),/universities/fordham-university/gabelli-school-business,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/gabelli-school-of-business_592560cf2aeae70239af56b6_small.jpg,46.8,73,,False,False,101+,91-100,32,71-80,51-60,32.9,38,64.9,66,70
La Trobe Business School,/universities/la-trobe-university/la-trobe-business-school,Oceania,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/profiles/logos/15061_small.jpg,48.3,74,,False,False,81-90,91-100,81-90,15,51-60,40.9,41.1,36.7,87,70
Loughborough School of Business and Economics,/universities/loughborough-university/loughborough-business-school,Europe,United Kingdom,Loughborough,https://www.topuniversities.com/sites/default/files/profiles/logos/231020011639pm502336Business-School-social-icon-final-4-2023%255B4%255D-48x48.jpg,46.9,75,,False,False,71-80,43,71-80,50,101+,43.5,61,41.1,76.2,41.6
