University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Diversity Rank,Value for Money Rank,Alumni Outcomes Rank,Thought Leadership Rank,Employability Rank,Diversity Score,Value for Money Score,Alumni Outcomes Score,Thought Leadership Score,Employability Score
MIT’s Center for Transportation & Logistics,/universities/massachusetts-institute-technology-mit/center-transportation-logistics-mit-ctl,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/210909010721pm818653SCM-logo-200x200-200x200_0.jpg,100,1,,False,False,43,1,1,1,1,61.3,98.9,100,96.9,98.1
Michigan (Ross),/universities/university-michigan-ann-arbor/michigan-ross-school-business,North America,United States,Ann Arbor (MI),https://www.topuniversities.com/sites/default/files/profiles/logos/michigan-ross-school-of-business_592560cf2aeae70239af5886_small.jpg,92.8,2,,False,False,51+,2,4,3,5,57.6,97.9,98.2,93,85.9
WU Vienna University of Economics and Business,/universities/wu-vienna-university-economics-business,Europe,Austria,Vienna,https://www.topuniversities.com/sites/default/files/profiles/logos/wu-vienna-university-of-economics-and-business_592560cf2aeae70239af4d89_small.jpg,91.9,3,,False,False,6,31,3,5,2,84.7,70.8,98.7,90.6,92.8
Erasmus (RSM),/universities/erasmus-university-rotterdam/rotterdam-school-management-erasmus-university,Europe,Netherlands,Rotterdam,https://www.topuniversities.com/sites/default/files/profiles/logos/210722010220pm240208Untitled-design-48x48.jpg,85.6,4,,False,False,16,23,22,6,3,75,76.4,66.8,90.5,91.5
EMLyon Business School,/universities/emlyon-business-school,Europe,France,Lyon,https://www.topuniversities.com/sites/default/files/profiles/logos/211005052214pm924585emlyon-logo-seul-cmjn-48x48.jpg,80,5,,False,False,5,19,8,7,12,85.3,80.8,87.3,82.3,68.9
USC (Marshall),/universities/university-southern-california/marshall-school-business,North America,United States,Los Angeles (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/marshall-school-of-business_592560cf2aeae70239af573b_small.jpg,76.8,6,,False,False,29,10,2,16,16,66.5,89.1,99.8,64.3,66.8
Manchester (Alliance),/universities/university-manchester/alliance-manchester-business-school,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/profiles/logos/alliance-manchester-business-school_592560cf2aeae70239af556d_small.jpg,71.8,7,,False,False,12,51+,11,4,11,76.4,42.4,80.6,91,72.1
Trinity Business School,/universities/trinity-college-dublin-university-dublin/trinity-college-dublin,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/trinity-college-dublin_19518_small.jpg,71.7,8,,False,False,4,51+,14,10,8,87.2,45.9,77.7,74.8,77
Politecnico di Milano,/universities/polimi-graduate-school-management,Europe,Italy,Milano,https://www.topuniversities.com/sites/default/files/Politecnico.jpg,71,9,,False,False,44,14,48,=25,6,61,85.7,45,58.3,84
Washington (Foster),/universities/university-washington/university-washington-foster-school-business,North America,United States,Seattle (WA),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-washington_592560cf2aeae70239af5744_small.jpg,70.3,10,,False,False,=35,3,5,13,39,64.6,97.4,95.4,66.7,48
City University of Hong Kong,/universities/city-university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/profiles/logos/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,68.7,11,,False,False,=41,51+,43,8,4,61.4,40.9,49.6,79.4,89.9
HKUST,/universities/hong-kong-university-science-technology/hkust-business-school,Asia,Hong Kong SAR,Hong Kong SAR,https://www.topuniversities.com/sites/default/files/profiles/logos/hkust-business-school_592560cf2aeae70239af582d_small.jpg,67.9,12,,False,False,26,51+,33,2,7,69.1,28.1,56.3,93.6,81.9
UCD (Smurfit),/universities/university-college-dublin/ucd-michael-smurfit-graduate-business-school,Europe,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/profiles/logos/ucd-michael-smurfit-graduate-business-school_592560cf2aeae70239af558b_small.jpg,67.9,13,,False,False,=32,42,29,9,9,65,56.1,58.4,79.1,74.5
Cranfield School of Management,/universities/cranfield-university/cranfield-school-management,Europe,United Kingdom,Bedford,https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-1-48x48.jpg,67.6,14,,False,False,10,40,18,14,10,77.2,59.5,68.4,65,72.2
