University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Faculty Student Ratio Rank,Academic Reputation Rank,Sustainability Rank,Employer Reputation Rank,International Student Diversity Rank,Papers per Faculty Rank,Citations per Paper Rank,Inbound Exchange Students Rank,International Faculty Ratio Rank,Outbound Exchange Students Rank,International Research Network Rank,Employment Outcomes Rank,Faculty Student Ratio Score,Academic Reputation Score,Sustainability Score,Employer Reputation Score,International Student Diversity Score,Papers per Faculty Score,Citations per Paper Score,Inbound Exchange Students Score,International Faculty Ratio Score,Outbound Exchange Students Score,International Research Network Score,Employment Outcomes Score
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,100,1,,False,False,5,1,=12,1,71,55,12,176,41,62,1,1,100,100,98.2,100,71,67.2,99,38.1,96.1,75.4,100,100
ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,99.4,2,,False,False,61,4,=40,13,15,32,6,=157,3,=184,32,8,85,100,91.6,99,96.9,81.1,99.8,39.5,100,33.9,94.7,99.4
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,98.7,3,,False,False,8,2,17,2,90,63,7,301+,17,117,6,2,100,100,97.8,100,68,65.8,99.7,9.1,100,57.2,99.4,100
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,97.6,4,,False,False,19,5,26,3,41,56,5,238,16,301+,27,6,99.4,100,95.7,100,74.4,67.1,99.8,22.3,100,9,95.4,99.7
UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,97.5,5,,False,False,17,3,27,5,42,124,11,301+,34,143,2,31,99.6,100,94.3,99.9,74.4,51,99.1,13.8,97.9,49.1,99.9,94
The University of Edinburgh,/universities/university-edinburgh,Europe,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,96.5,6,,False,False,68,6,1,10,56,173,16,179,36,157,11,35,82,100,100,99.8,74,42.7,98,36.7,97.2,44.2,98.8,92.2
Université PSL,/universities/universite-psl,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,96.2,7,,False,False,22,23,=63,11,72,29,22,120,137,79,3,28,99.2,94,86.6,99.7,70.8,83.3,97.1,50.3,64.2,70.2,99.8,94.9
The University of Manchester,/universities/university-manchester,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,94.6,8,,False,False,104,7,28,9,62,185,38,275,66,120,9,11,71.2,99.8,94.2,99.9,73,41.1,93.2,16.3,88.8,56.6,99,99
EPFL – École polytechnique fédérale de Lausanne,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Europe,Switzerland,Lausanne,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,93.2,9,,False,False,33,13,=159,21,3,38,4,43,5,=184,132,165,96.8,97.9,60.8,95.5,100,74.5,99.9,85.1,100,33.9,74,47
King's College London,/universities/kings-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg,93.1,10,,False,False,99,10,=60,14,49,123,43,212,35,237,13,64,72.7,99.1,87,98.1,74.4,51.3,90.9,27.2,97.3,27.6,98.3,80
