University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
Stanford Graduate School of Business,/universities/stanford-university/stanford-graduate-school-business,North America,United States,Stanford (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/4980_small.jpg,100,1,,False,False,2,86,1,51,11,98.4,69.3,99.9,90,94.5
Penn (Wharton),/universities/university-pennsylvania/wharton-school,North America,United States,Philadelphia (PA),https://www.topuniversities.com/sites/default/files/profiles/logos/the-wharton-school_592560cf2aeae70239af56c4_small.jpg,99.6,2,,False,False,4,=37,4,=32,4,97.8,77.8,84.8,94.3,97.8
Harvard Business School,/universities/harvard-university/harvard-business-school,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/harvard-business-school_592560cf2aeae70239af5592_small.jpg,99.3,3,,False,False,6,=54,2,=56,6,97.4,74.8,92.9,89.4,97.2
London Business School,/universities/london-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/profiles/logos/london-business-school_592560cf2aeae70239af4be5_small.jpg,98.5,4,,False,False,3,66,3,=52,8,98.3,73.1,87.4,89.9,96.3
HEC Paris,/universities/hec-paris-school-management/hec-paris-mba,Europe,France,Paris,https://www.topuniversities.com/sites/default/files/profiles/logos/hec-paris-mba_15094_small.jpg,98.3,5,,False,False,9,=71,14,5,5,96.8,72,76.7,99.8,97.5
MIT (Sloan),/universities/massachusetts-institute-technology-mit/mit-sloan-school-management,North America,United States,Cambridge (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/mit-sloan-school-of-management_592560cf2aeae70239af56bf_small.jpg,97.9,6,,False,False,1,=91,6,54,1,98.5,68.9,84.3,89.8,98.9
Columbia Business School,/universities/columbia-university/columbia-business-school,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/columbia-business-school_592560cf2aeae70239af56d0_small.jpg,97.1,7,,False,False,8,70,11,30,12,97.2,72.4,78.5,94.9,93.8
IE Business School,/universities/ie-university/ie-business-school,Europe,Spain,Segovia,https://www.topuniversities.com/sites/default/files/profiles/logos/230302032731pm314785IE-BS-logo-200x200-48x48.jpg,96.5,8,,False,False,11,24,5,10,41,95.8,82.6,84.4,97.5,78.4
Cambridge (Judge),/universities/university-cambridge/cambridge-judge-business-school,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/profiles/logos/judge-business-school_592560cf2aeae70239af582c_small.jpg,95.6,9,,False,False,16,=52,17,37,3,93.9,75,75.5,93.7,97.9
IESE Business School,/universities/university-navarra/iese-business-school,Europe,Spain,Barcelona,https://www.topuniversities.com/sites/default/files/profiles/logos/230920120533pm226796Untitled-design-48x48.jpg,95.6,10,,False,False,10,=73,16,7,28,96.5,71.6,75.7,99.3,85.7
