University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,Faculty Student Ratio Rank,Web Impact Rank,Academic Reputation Rank,Faculty Staff with PhD Rank,International Research Network Rank,Citations per Paper Rank,Papers per Faculty Rank,Employer Reputation Score,Faculty Student Ratio Score,Web Impact Score,Academic Reputation Score,Faculty Staff with PhD Score,International Research Network Score,Citations per Paper Score,Papers per Faculty Score
Universidade de São Paulo,/universities/universidade-de-sao-paulo,Latin America,Brazil,São Paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg,100,1,,FALSE,FALSE,9,102,2,4,4,1,35,1,98.8,52,100,100,100,100,77.3,100
Pontificia Universidad Católica de Chile (UC),/universities/pontificia-universidad-católica-de-chile-uc,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,99.1,2,,FALSE,FALSE,1,108,21,3,43,3,20,13,100,49.4,83.7,100,91.9,99.9,87,96.9
Universidade Estadual de Campinas (Unicamp),/universities/universidade-estadual-de-campinas-unicamp,Latin America,Brazil,Campinas,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_small.jpg,96.2,3,,FALSE,FALSE,25,148,4,6,5,4,22,2,83.7,39.6,99.9,99.8,100,99.9,85.5,100
Tecnológico de Monterrey,/universities/tecnologico-de-monterrey,Latin America,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg,95.4,4,6,FALSE,FALSE,5,34,20,10,86,14,11,161,100,90.5,83.8,96.7,58.4,97.1,98.3,16.2
Universidad de Chile,/universities/universidad-de-chile,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg,94.9,5,,FALSE,FALSE,7,201+,7,5,66,6,26,7,100,24.6,99.2,100,73.7,99.8,83.1,98.4
Universidad de los Andes,/universities/universidad-de-los-andes,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg,92.8,6,,FALSE,FALSE,4,127,13,8,59,16,56,27,100,43.9,89.8,99.5,77.9,96.2,58.3,82.5
Universidad Nacional Autónoma de México  (UNAM),/universities/universidad-nacional-autonoma-de-mexico-unam,Latin America,Mexico,Mexico City,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg,91.3,7,,FALSE,FALSE,2,58,1,1,93,2,68,100,100,74.5,100,100,54.4,100,51.4,33.4
Universidade Federal do Rio de Janeiro,/universities/universidade-federal-do-rio-de-janeiro,Latin America,Brazil,Rio de Janeiro,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-48x48.jpg,90.3,8,,FALSE,FALSE,38,147,5,9,8,5,65,15,75.1,39.6,99.8,99.1,99.7,99.9,52.6,96.4
Universidad de Buenos Aires (UBA),/universities/universidad-de-buenos-aires-uba,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg,88.4,9,,FALSE,FALSE,3,26,6,2,90,9,201+,151,100,95.7,99.3,100,56.1,99.2,10.8,17.9
UNESP,/universities/unesp,Latin America,Brazil,Sao Paulo,https://www.topuniversities.com/sites/default/files/unesp_492_small.jpg,85.7,10,,FALSE,FALSE,40,158,10,15,1,8,95,3,73.4,35.6,97.3,91.1,100,99.5,40.9,100
Universidad de Concepción,/universities/universidad-de-concepcion,Latin America,Chile,Concepción,https://www.topuniversities.com/sites/default/files/universidad-de-concepcin_1700_small.jpg,84.1,11,,FALSE,FALSE,24,176,18,21,77,12,16,26,84.9,32,84.5,80.7,66.3,97.8,88.7,82.7
Universidad Nacional de Colombia,/universities/universidad-nacional-de-colombia,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_small.jpg,83.7,12,,FALSE,FALSE,6,201+,24,7,64,15,201+,40,100,17.9,78.1,99.7,75.3,97,12.7,71.5
Pontificia Universidad Catolica del Peru (PUCP),/universities/pontificia-universidad-catolica-del-peru-pucp,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/210825042529am231772Isotipo-PUCP-200x200-48x48.jpg,78.9,13,,FALSE,FALSE,11,90,22,11,183,49,105,158,97.2,57.6,83.6,95.7,22.5,82.6,38.3,16.5
Universidade Federal de Minas Gerais      ,/universities/universidade-federal-de-minas-gerais,Latin America,Brazil,Belo Horizonte,https://www.topuniversities.com/sites/default/files/universidade-federal-de-minas-gerais_1727_small.jpg,77.9,14,,FALSE,FALSE,86,170,3,17,7,10,69,19,40.7,33.5,100,86.9,99.9,98.9,51.1,94.7
Universidad de Santiago de Chile (USACH),/universities/universidad-de-santiago-de-chile-usach,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/universidad-de-santiago-de-chile-usach_548_small.jpg,77.6,15,,FALSE,FALSE,12,201+,58,12,138,26,121,43,95,24.8,45.4,94.5,38.1,93.8,33,68.7
Pontificia Universidad Javeriana,/universities/pontificia-universidad-javeriana,Latin America,Colombia,Bogotá,https://www.topuniversities.com/sites/default/files/pontificia-universidad-javeriana_592560cf2aeae70239af514a_small.jpg,76.6,16,,FALSE,FALSE,8,97,33,13,151,39,201+,153,99.3,54.2,66.7,94.1,33.8,89.2,11,17.4
