University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,International Research Network Rank,Academic Reputation Rank,H-index Citations Rank,Employer Reputation Rank,Citations per Paper Rank,International Research Network Score,Academic Reputation Score,H-index Citations Score,Employer Reputation Score,Citations per Paper Score
Harvard University,/universities/harvard-university,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,98.6,1,,False,False,1,1,1,1,5,100,100,100,100,93.2
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,94,2,,False,False,7,3,2,3,11,90.1,96.3,92.2,95.9,92.1
Johns Hopkins University,/universities/johns-hopkins-university,North America,United States,Baltimore,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,93,3,,False,False,6,2,6,20,22,90.4,99.6,88.1,84.1,90.5
Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,91.2,4,,False,False,70,8,8,2,1,74.6,91.5,87.3,96.3,100
Stanford University,/universities/stanford-university,North America,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,91.2,5,,False,False,30,6,11,5,4,81.4,94,86.4,94.9,93.4
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,91,6,,False,False,40,4,17,4,15,79.3,95.9,84.7,95.2,91.3
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,89.1,7,,False,False,8,10,11,16,9,89.9,89.8,86.4,84.9,92.3
"University of California, San Francisco",/universities/university-california-san-francisco,North America,United States,San Francisco,https://www.topuniversities.com/sites/default/files/university-of-california-san-francisco_90_small.jpg,88.6,8,,False,False,15,7,20,96,6,85.9,93.7,84.5,70.3,92.8
UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,88.3,9,,False,False,9,14,4,48,11,89,88.5,89.7,76.8,92.1
Karolinska Institutet,/universities/karolinska-institutet,Europe,Sweden,Stockholm,https://www.topuniversities.com/sites/default/files/karolinska-institutet_311_small.jpg,88.2,10,,False,False,4,5,27,99,58,91.2,95.3,82,70.1,87.6
"University of California, Los Angeles (UCLA)",/universities/university-california-los-angeles-ucla,North America,United States,Los Angeles,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,88.2,11,,False,False,28,10,9,11,25,81.5,89.8,86.9,86.7,90.3
King's College London,/universities/kings-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg,87.6,12,,False,False,2,15,14,44,29,94.5,88.1,85.8,77.8,89.9
University of Toronto,/universities/university-toronto,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,87.5,13,,False,False,19,20,3,17,52,84.7,86.4,92,84.6,88.2
Yale University,/universities/yale-university,North America,United States,New Haven,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,87.1,14,,False,False,38,12,25,8,33,79.5,89.6,82.2,88.7,89.8
"University of California, San Diego (UCSD)",/universities/university-california-san-diego-ucsd,North America,United States,San Diego,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,85.8,15,,False,False,37,19,13,58,7,79.8,86.6,85.9,74.9,92.6
