University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employer Reputation Rank,H-index Citations Rank,International Research Network Rank,Academic Reputation Rank,Citations per Paper Rank,Employer Reputation Score,H-index Citations Score,International Research Network Score,Academic Reputation Score,Citations per Paper Score
Harvard University,/universities/harvard-university,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,97.4,1,,False,False,1,11,1,3,1,100,91.7,100,96.7,100
Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,96.8,2,,False,False,2,6,16,2,6,98.4,95.4,89,97.7,98.9
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,94.9,3,,False,False,5,8,11,4,23,94.9,92.9,91,96.5,94.9
Stanford University,/universities/stanford-university,North America,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,94.7,4,,False,False,3,5,47,7,3,96.2,95.5,80.9,95.1,99.7
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,94.6,5,,False,False,4,23,5,5,23,95.4,88.3,96.4,96,94.9
California Institute of Technology (Caltech),/universities/california-institute-technology-caltech,North America,United States,Pasadena,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,94.1,6,,False,False,7,10,101,1,19,91.4,92.4,76,100,96
"University of California, Berkeley (UCB)",/universities/university-california-berkeley-ucb,North America,United States,Berkeley,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,93.2,7,,False,False,7,14,34,6,4,91.4,90.5,83,95.3,99.4
ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,90.7,8,,False,False,15,25,41,8,34,86,88,81.8,95,94.1
Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,90,9,,False,False,16,38,12,9,78,85.9,85.8,90.6,93.3,90.7
Princeton University,/universities/princeton-university,North America,United States,Princeton,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,89.1,10,,False,False,17,16,215,10,1,85.8,89.3,68.7,91.6,100
The University of Tokyo,/universities/university-tokyo,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,88.7,11,,False,False,21,11,52,11,108,84.3,91.7,80.5,91.4,89.6
University of Chicago,/universities/university-chicago,North America,United States,Chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,87.7,12,,False,False,27,4,108,20,8,82.7,95.7,75.3,86.1,98.6
