University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Citations per Paper Rank,International Research Network Rank,Employer Reputation Rank,H-index Citations Rank,Academic Reputation Rank,Citations per Paper Score,International Research Network Score,Employer Reputation Score,H-index Citations Score,Academic Reputation Score
Harvard University,/universities/harvard-university,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,98.2,1,,False,False,6,3,1,1,2,94.1,99.6,100,100,97.4
University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,93.5,2,,False,False,81,5,2,12,4,86.6,96.8,95.8,90.4,93.2
Stanford University,/universities/stanford-university,North America,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,92.8,3,,False,False,3,147,5,2,3,97.7,71.6,93.4,96.1,93.4
Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,92.3,4,,False,False,2,88,3,6,7,99.5,76.6,94.8,93,91.1
The London School of Economics and Political Science (LSE),/universities/london-school-economics-political-science-lse,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,91.9,5,,False,False,14,319,16,15,1,91.4,56.5,85.1,88.9,100
University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,91.7,6,,False,False,65,59,4,18,5,87.3,80.3,94.7,87.7,92.3
"University of California, Berkeley (UCB)",/universities/university-california-berkeley-ucb,North America,United States,Berkeley,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,89.4,7,,False,False,7,63,10,4,8,93.6,79.8,86.7,94,90.6
Yale University,/universities/yale-university,North America,United States,New Haven,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,88.2,8,,False,False,13,32,9,17,13,91.6,83.9,87.2,88.3,88.7
University of Chicago,/universities/university-chicago,North America,United States,Chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,87.9,9,,False,False,4,214,34,2,6,96.8,66,80,96.1,92.2
Columbia University,/universities/columbia-university,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg,86.6,10,,False,False,36,17,27,9,14,88.7,88.6,82.1,91.8,88.1
"University of California, Los Angeles (UCLA)",/universities/university-california-los-angeles-ucla,North America,United States,Los Angeles,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,86.2,11,,False,False,29,82,15,16,16,89,77.1,85.3,88.6,86.9
University of Pennsylvania,/universities/university-pennsylvania,North America,United States,Philadelphia,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,85.8,12,,False,False,12,184,43,7,9,91.8,68.3,78.1,92.8,90.3
New York University (NYU),/universities/new-york-university-nyu,North America,United States,New York City,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,85.2,13,,False,False,22,102,48,10,11,89.6,74.9,77.1,90.7,89.6
Bocconi University,/universities/bocconi-university,Europe,Italy,Milan,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_small.jpg,84.1,14,,False,False,10,401+,22,144,10,92.3,35.1,82.7,75.2,90
Princeton University,/universities/princeton-university,North America,United States,Princeton,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,83.9,15,,False,False,1,266,42,5,18,100,61.7,78.2,93.3,85.8
University of Toronto,/universities/university-toronto,North America,Canada,Toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,83.9,16,,False,False,163,92,28,13,19,84.2,76.2,82,89.5,85
University of British Columbia,/universities/university-british-columbia,North America,Canada,Vancouver,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,83.2,17,,False,False,123,10,30,53,31,85.1,92.1,81.9,81.3,83
National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,83.1,18,,False,False,98,169,7,160,40,85.9,69.9,89.4,74,81.6
Peking University,/universities/peking-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,82.2,19,,False,False,61,341,14,247,24,87.4,54.4,85.4,70,84.1
University of Michigan-Ann Arbor,/universities/university-michigan-ann-arbor,North America,United States,Ann Arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,82,20,,False,False,27,81,58,14,22,89.2,77.2,75.1,89.2,84.4
Pontificia Universidad Católica de Chile (UC),/universities/pontificia-universidad-católica-de-chile-uc,Latin America,Chile,Santiago,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,81.8,21,,False,False,363,286,11,314,23,76.7,59.3,86.5,66.7,84.2
UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,81.8,22,,False,False,50,1,66,8,35,87.8,100,74,92,82.3
London Business School,/universities/london-business-school,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/london-business-school_592560cf2aeae70239af4be5_small.jpg,81,23,,False,False,185,401+,34,314,12,83.7,26.2,80,66.7,88.8
Northwestern University,/universities/northwestern-university,North America,United States,Evanston,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,81,24,,False,False,9,257,95,10,20,93.1,63.2,72.2,90.7,84.7
The University of Melbourne,/universities/university-melbourne,Oceania,Australia,Parkville,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg,80.9,25,,False,False,218,59,73,21,21,82.7,80.3,73.5,85.3,84.5
Universidad Nacional Autónoma de México  (UNAM),/universities/universidad-nacional-autonoma-de-mexico-unam,Latin America,Mexico,Mexico City,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg,80.9,26,,False,False,401+,181,8,401+,28,67.1,68.8,87.8,58.2,83.4
Cornell University,/universities/cornell-university,North America,United States,Ithaca,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,80.8,27,,False,False,46,153,32,30,49,88,71,81.6,83.4,79.8
Tsinghua University,/universities/tsinghua-university,Asia,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,80.6,28,,False,False,36,276,12,160,54,88.7,60.1,86,74,79.1
The University of Hong Kong,/universities/university-hong-kong,Asia,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,80.2,29,,False,False,123,186,51,122,26,85.1,68.1,76.3,76.9,83.6
University of Amsterdam,/universities/university-amsterdam,Europe,Netherlands,Amsterdam,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,80.2,30,,False,False,40,24,122,19,29,88.6,86.5,70.6,86.3,83.1
INSEAD,/universities/insead,Europe,France,Fontainebleau,https://www.topuniversities.com/sites/default/files/insead_592560cf2aeae70239af4ba8_small.jpg,79.9,31,,False,False,383,401+,30,401+,15,75.2,30,81.9,56.9,87.9
The University of Manchester,/universities/university-manchester,Europe,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,79.9,32,,False,False,81,13,63,26,46,86.6,91.4,74.5,84.5,80.2
The University of Tokyo,/universities/university-tokyo,Asia,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,79.6,33,,False,False,389,117,22,398,36,74.9,74,82.7,60.7,81.9
Seoul National University,/universities/seoul-national-university,Asia,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,79.2,34,,False,False,330,207,46,277,29,79,66.5,77.4,68.4,83.1
"Nanyang Technological University, Singapore (NTU Singapore)",/universities/nanyang-technological-university-singapore-ntu-singapore,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,79,35,,False,False,123,205,18,126,83,85.1,66.6,84.1,76.4,76.6
Australian National University (ANU),/universities/australian-national-university-anu,Oceania,Australia,Canberra,https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg,78.9,36,,False,False,295,96,79,133,31,80.4,75.4,72.9,75.8,83
Tecnológico de Monterrey,/universities/tecnologico-de-monterrey,Latin America,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg,78.8,37,6,False,False,313,220,13,342,64,79.7,65.6,85.5,64.9,78.1
The University of New South Wales (UNSW Sydney),/universities/university-new-south-wales-unsw-sydney,Oceania,Australia,Sydney,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-48x48.jpg,78.8,38,,False,False,213,44,103,38,41,82.9,82.2,71.8,82.6,81.5
Universidad de Buenos Aires (UBA),/universities/universidad-de-buenos-aires-uba,Latin America,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg,78.6,39,,False,False,401+,367,17,401+,26,61.9,50.8,84.9,55.4,83.6
Duke University,/universities/duke-university,North America,United States,Durham,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,78.5,40,,False,False,20,33,86,28,57,90,83.3,72.6,84.1,79
The University of Warwick,/universities/university-warwick,Europe,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,78.5,41,,False,False,78,129,139,62,33,86.7,72.9,69.7,80.4,82.8
